prompt,answer
"Who is considered the ""Father of Science Fiction""?","Jules Verne is often considered the ""Father of Science Fiction"" for his pioneering works like Twenty Thousand Leagues Under the Sea."
Which author created the detective Sherlock Holmes?,Sir Arthur Conan Doyle created the iconic detective Sherlock Holmes.
Who wrote the Harry Potter series?,"J.K. Rowling wrote the Harry Potter series, which follows the adventures of a young wizard."
Which author is known for writing horror novels like It and The Shining?,Stephen King is known for writing horror novels such as It and The Shining.
Who is the author of The Great Gatsby?,"F. Scott Fitzgerald wrote The Great Gatsby, a novel about the American Dream and social change in the 1920s."
Which author wrote Pride and Prejudice?,"Jane Austen wrote Pride and Prejudice, a classic novel about love and social status."
Who wrote Moby-Dick?,Herman Melville wrote *Moby-Dick
What is a good non-fiction book to read?,Sapiens: A Brief History of Humankind by Yuval Noah Harari is an insightful non-fiction book that explores the history and evolution of humankind.
Can you recommend a book with a strong female protagonist?,"The Hunger Games by Suzanne Collins features Katniss Everdeen, a strong and resourceful female protagonist."
What’s a good book to learn about history?,"Guns, Germs, and Steel by Jared Diamond is a comprehensive book that examines the factors that influenced the development of human societies."
Recommend a book that deals with mental health.,Eleanor Oliphant Is Completely Fine by Gail Honeyman is a novel that sensitively explores themes of loneliness and mental health.
What is a good book for beginners in philosophy?,Sophie's World by Jostein Gaarder is a novel that introduces readers to the history of philosophy through an engaging story.
Can you suggest a book for improving productivity?,Atomic Habits by James Clear is a highly regarded book that provides strategies for building good habits and improving productivity.
What’s a good memoir to read?,Educated by Tara Westover is a powerful memoir about a woman’s quest for knowledge and self-discovery.
Recommend a book about climate change.,The Uninhabitable Earth by David Wallace-Wells is a thought-provoking book that discusses the potential impacts of climate change.
What is a good children’s book?,Where the Wild Things Are by Maurice Sendak is a classic children’s book that has delighted young readers for generations.
Can you suggest a book on leadership?,Leaders Eat Last by Simon Sinek is a book that explores the qualities of great leaders and the importance of building trust within organizations.
What is a gothic novel?,"A gothic novel is a genre characterized by mystery, horror, and romance, often set in gloomy and isolated locations."
What defines a horror novel?,"A horror novel is a genre designed to scare, unsettle, or frighten the reader through suspense, violence, or the supernatural."
What is a bildungsroman?,A bildungsroman is a coming-of-age story that focuses on the psychological and moral growth of the protagonist from youth to adulthood.
What is a graphic novel?,"A graphic novel is a book made up of comics content, often presenting a complete story with a beginning, middle, and end."
What is an epistolary novel?,"An epistolary novel is a story told through documents such as letters, diary entries, or emails."
What is a noir novel?,"A noir novel is a genre characterized by cynicism, moral ambiguity, and a dark, gritty atmosphere, often involving crime or corruption."
What defines a romance novel?,"A romance novel is a genre focused on the relationship and romantic love between two people, usually with an emotionally satisfying ending."
What is cyberpunk?,Cyberpunk is a subgenre of science fiction that explores futuristic societies dominated by computer technology and often features antiheroes and dystopian settings.
What is a detective novel?,A detective novel is a genre centered around a detective or amateur sleuth solving a crime or mystery.
What is a thriller novel?,"A thriller novel is a genre characterized by excitement, suspense, and high stakes, often involving crime, espionage, or danger."
